2015-03-18 12:44:40,930:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:44:40,934:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:45:40,049:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:45:40,051:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:45:53,513:ERROR:JuggleFest.parse_input_file@L182: Failed to open the inputfile.
2015-03-18 12:45:53,513:WARNING:JuggleFest.<module>@L309: A problem was encountered while processing inputfile.
2015-03-18 12:46:22,151:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:46:22,153:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: True.
2015-03-18 12:46:22,154:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:46:22,154:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:46:34,108:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:46:34,109:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:49:30,581:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:49:30,582:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:49:41,334:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:49:41,335:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: True.
2015-03-18 12:49:41,335:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:49:41,336:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:50:35,312:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:50:35,312:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: False.
2015-03-18 12:50:35,312:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:50:35,313:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:50:48,150:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:50:48,150:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: False.
2015-03-18 12:51:26,752:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:51:26,752:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: False.
2015-03-18 12:51:26,753:DEBUG:JuggleFest.parse_input_file@L185:0 circuits and 0 jugglers parsed from inputfile.
2015-03-18 12:52:02,892:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:52:02,894:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: True.
2015-03-18 12:52:02,894:DEBUG:JuggleFest.parse_input_file@L185:0 circuits and 0 jugglers parsed from inputfile.
2015-03-18 12:52:29,611:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:52:29,611:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: True.
2015-03-18 12:52:29,612:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #0: H:10, E:8, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:32,039:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #953: H:3, E:6, P:6, Prefs[10]: C1043, C517, C835, C425, C1600, C592, C727, C1531, C1863, C417>
2015-03-18 12:52:32,039:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #954: H:1, E:4, P:2, Prefs[10]: C552, C1277, C489, C1817, C267, C1292, C650, C759, C810, C362>
2015-03-18 12:52:32,042:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #955: H:6, E:0, P:7, Prefs[10]: C369, C808, C1358, C400, C1777, C614, C1403, C330, C1445, C1815>
2015-03-18 12:52:32,042:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #956: H:0, E:0, P:1, Prefs[10]: C890, C1586, C1305, C1480, C1878, C541, C970, C1282, C544, C447>
2015-03-18 12:52:32,042:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #957: H:6, E:8, P:2, Prefs[10]: C988, C620, C1691, C1879, C292, C1066, C1033, C1536, C1748, C1754>
2015-03-18 12:52:32,043:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #958: H:5, E:10, P:7, Prefs[10]: C543, C1585, C1601, C1356, C966, C1078, C1224, C1733, C150, C1137>
2015-03-18 12:52:32,045:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #959: H:0, E:4, P:6, Prefs[10]: C86, C1612, C976, C1820, C374, C598, C320, C1252, C507, C825>
2015-03-18 12:52:32,046:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #960: H:9, E:3, P:10, Prefs[10]: C703, C1437, C1427, C1574, C439, C1414, C250, C925, C692, C149>
2015-03-18 12:52:32,046:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #961: H:6, E:1, P:7, Prefs[10]: C1508, C1401, C1459, C1076, C520, C1330, C1730, C251, C823, C1653>
2015-03-18 12:52:32,048:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #962: H:3, E:1, P:6, Prefs[10]: C736, C434, C227, C762, C1011, C1278, C1232, C1648, C1504, C277>
2015-03-18 12:52:32,049:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #963: H:7, E:1, P:7, Prefs[10]: C694, C1553, C798, C37, C1566, C449, C1795, C1036, C650, C1502>
2015-03-18 12:52:32,049:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #964: H:9, E:1, P:0, Prefs[10]: C601, C1439, C1671, C1722, C1533, C229, C449, C1362, C731, C402>
2015-03-18 12:52:32,051:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #965: H:5, E:7, P:0, Prefs[10]: C1016, C1738, C1432, C725, C21, C944, C1539, C1932, C257, C988>
2015-03-18 12:52:32,052:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #966: H:9, E:7, P:8, Prefs[10]: C1379, C839, C114, C1441, C137, C1882, C1727, C1663, C1758, C1921>
2015-03-18 12:52:32,053:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #967: H:0, E:1, P:10, Prefs[10]: C1168, C419, C110, C102, C423, C1787, C1691, C502, C1126, C1063>
2015-03-18 12:52:32,055:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #968: H:0, E:7, P:3, Prefs[10]: C1588, C1053, C660, C774, C610, C270, C1951, C513, C1765, C779>
2015-03-18 12:52:32,056:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #969: H:5, E:2, P:9, Prefs[10]: C627, C1165, C1822, C282, C1440, C710, C1425, C1740, C97, C319>
2015-03-18 12:52:32,058:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #970: H:4, E:5, P:1, Prefs[10]: C25, C1868, C478, C1342, C1399, C1192, C1592, C1061, C1215, C1404>
2015-03-18 12:52:32,059:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #971: H:3, E:7, P:9, Prefs[10]: C1759, C1395, C1370, C150, C968, C133, C1155, C385, C17, C1372>
2015-03-18 12:52:32,059:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #972: H:7, E:7, P:10, Prefs[10]: C638, C596, C1518, C831, C1309, C347, C490, C1198, C774, C955>
2015-03-18 12:52:32,061:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #973: H:9, E:5, P:7, Prefs[10]: C819, C966, C102, C441, C1129, C1348, C1227, C285, C351, C846>
2015-03-18 12:52:32,061:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #974: H:1, E:2, P:7, Prefs[10]: C1377, C1640, C982, C1406, C1676, C215, C1021, C1103, C1143, C1211>
2015-03-18 12:52:32,061:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #975: H:9, E:5, P:9, Prefs[10]: C162, C1302, C1589, C42, C924, C958, C1852, C380, C434, C1186>
2015-03-18 12:52:32,062:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #976: H:4, E:7, P:10, Prefs[10]: C1778, C785, C1799, C1015, C1278, C1985, C415, C1762, C1427, C1615>
2015-03-18 12:52:32,062:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #977: H:4, E:9, P:5, Prefs[10]: C300, C1698, C477, C558, C1852, C66, C1918, C1320, C1645, C787>
2015-03-18 12:52:32,063:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #978: H:8, E:9, P:2, Prefs[10]: C526, C303, C116, C872, C193, C101, C1935, C361, C1404, C1164>
2015-03-18 12:52:32,065:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #979: H:3, E:9, P:4, Prefs[10]: C1330, C1348, C169, C1964, C1487, C214, C751, C1677, C1955, C1126>
2015-03-18 12:52:32,065:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #980: H:7, E:2, P:6, Prefs[10]: C1377, C37, C584, C1906, C870, C1970, C32, C913, C99, C1091>
2015-03-18 12:52:32,065:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #981: H:9, E:3, P:3, Prefs[10]: C156, C1361, C247, C1995, C114, C1671, C1071, C354, C908, C20>
2015-03-18 12:52:32,066:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #982: H:0, E:10, P:7, Prefs[10]: C1531, C1638, C3, C1335, C691, C951, C71, C1470, C1599, C113>
2015-03-18 12:52:32,068:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #983: H:8, E:0, P:6, Prefs[10]: C1344, C1649, C646, C827, C275, C1081, C1184, C486, C1160, C338>
2015-03-18 12:52:32,069:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #984: H:4, E:7, P:7, Prefs[10]: C126, C1872, C1898, C986, C1015, C198, C1587, C1507, C1854, C665>
2015-03-18 12:52:32,069:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #985: H:1, E:4, P:8, Prefs[10]: C689, C237, C1733, C1282, C1007, C1756, C1987, C1920, C1849, C471>
2015-03-18 12:52:32,071:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #986: H:6, E:1, P:5, Prefs[10]: C1308, C219, C1958, C1544, C626, C500, C383, C507, C1208, C1891>
2015-03-18 12:52:32,072:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #987: H:1, E:0, P:10, Prefs[10]: C332, C123, C1651, C1402, C1768, C26, C71, C61, C16, C1907>
2015-03-18 12:52:32,072:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #988: H:8, E:3, P:6, Prefs[10]: C1411, C1953, C208, C1267, C1890, C983, C1439, C521, C1968, C1854>
2015-03-18 12:52:32,072:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #989: H:4, E:6, P:7, Prefs[10]: C249, C1877, C900, C1091, C1789, C961, C1251, C912, C2, C1806>
2015-03-18 12:52:32,073:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #990: H:1, E:10, P:5, Prefs[10]: C328, C749, C1874, C13, C542, C1017, C1774, C1932, C1170, C997>
2015-03-18 12:52:32,075:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #991: H:1, E:0, P:10, Prefs[10]: C1884, C471, C708, C1146, C339, C1636, C948, C731, C874, C867>
2015-03-18 12:52:32,075:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #992: H:1, E:4, P:9, Prefs[10]: C309, C581, C88, C1712, C1672, C609, C1461, C924, C26, C31>
2015-03-18 12:52:32,075:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #993: H:8, E:4, P:0, Prefs[10]: C646, C776, C1780, C385, C1307, C1889, C391, C662, C1160, C1068>
2015-03-18 12:52:32,076:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #994: H:1, E:3, P:6, Prefs[10]: C555, C1609, C844, C1119, C988, C1120, C1320, C92, C1642, C814>
2015-03-18 12:52:32,078:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #995: H:6, E:10, P:5, Prefs[10]: C1946, C1012, C112, C210, C70, C590, C1279, C355, C101, C675>
2015-03-18 12:52:32,078:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #996: H:6, E:9, P:1, Prefs[10]: C18, C1821, C713, C709, C1833, C1709, C968, C369, C385, C1974>
2015-03-18 12:52:32,079:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #997: H:5, E:2, P:1, Prefs[10]: C1039, C1530, C659, C505, C1174, C772, C395, C1667, C1628, C226>
2015-03-18 12:52:32,081:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #998: H:2, E:2, P:0, Prefs[10]: C13, C453, C573, C1024, C658, C1948, C520, C655, C435, C987>
2015-03-18 12:52:32,081:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #999: H:8, E:10, P:1, Prefs[10]: C1617, C643, C1106, C300, C890, C469, C1151, C478, C43, C402>
2015-03-18 12:52:32,082:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1000: H:7, E:10, P:7, Prefs[10]: C668, C928, C1166, C325, C1782, C1253, C701, C1269, C233, C1975>
2015-03-18 12:52:32,082:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1001: H:5, E:5, P:6, Prefs[10]: C1166, C1768, C1072, C1770, C1677, C1215, C1289, C276, C606, C1542>
2015-03-18 12:52:32,084:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1002: H:1, E:9, P:3, Prefs[10]: C1139, C845, C527, C16, C1128, C372, C318, C245, C1344, C655>
2015-03-18 12:52:32,085:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1003: H:1, E:4, P:10, Prefs[10]: C249, C134, C1893, C1547, C602, C213, C110, C904, C192, C707>
2015-03-18 12:52:32,085:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1004: H:0, E:7, P:10, Prefs[10]: C344, C1486, C1062, C36, C1813, C130, C990, C148, C594, C1902>
2015-03-18 12:52:32,086:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1005: H:0, E:3, P:10, Prefs[10]: C315, C506, C429, C949, C754, C1252, C243, C1858, C798, C350>
2015-03-18 12:52:32,088:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1006: H:2, E:4, P:6, Prefs[10]: C790, C1035, C1120, C1599, C1354, C787, C1626, C1379, C1908, C366>
2015-03-18 12:52:32,088:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1007: H:10, E:7, P:3, Prefs[10]: C1132, C1070, C1773, C1434, C320, C1051, C894, C1322, C1815, C1075>
2015-03-18 12:52:32,089:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1008: H:8, E:2, P:0, Prefs[10]: C1287, C1440, C13, C189, C1155, C1860, C343, C1466, C801, C1121>
2015-03-18 12:52:32,091:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1009: H:5, E:2, P:8, Prefs[10]: C505, C419, C1704, C1991, C1162, C1396, C1480, C1220, C710, C1411>
2015-03-18 12:52:32,092:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1010: H:3, E:3, P:1, Prefs[10]: C546, C718, C1623, C1738, C900, C928, C117, C1158, C573, C967>
2015-03-18 12:52:32,092:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1011: H:9, E:6, P:3, Prefs[10]: C1840, C1084, C463, C324, C282, C377, C1386, C1479, C518, C554>
2015-03-18 12:52:32,092:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1012: H:8, E:9, P:1, Prefs[10]: C220, C1432, C257, C1340, C1097, C247, C205, C1869, C708, C375>
2015-03-18 12:52:32,094:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1013: H:6, E:3, P:8, Prefs[10]: C509, C1076, C186, C191, C1275, C1815, C1839, C838, C1928, C1209>
2015-03-18 12:52:32,095:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1014: H:5, E:8, P:10, Prefs[10]: C1569, C1767, C1341, C738, C931, C1677, C399, C751, C304, C1381>
2015-03-18 12:52:32,095:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1015: H:6, E:10, P:7, Prefs[10]: C1069, C1847, C1511, C961, C385, C1049, C607, C1345, C1365, C129>
2015-03-18 12:52:32,096:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1016: H:10, E:4, P:2, Prefs[10]: C824, C760, C598, C443, C1515, C1454, C362, C701, C1208, C239>
2015-03-18 12:52:32,098:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1017: H:4, E:8, P:6, Prefs[10]: C1797, C1672, C991, C166, C1389, C1503, C168, C74, C955, C1283>
2015-03-18 12:52:32,098:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1018: H:8, E:7, P:2, Prefs[10]: C1113, C1829, C1032, C1989, C444, C1912, C421, C890, C840, C252>
2015-03-18 12:52:32,099:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1019: H:0, E:8, P:0, Prefs[10]: C1382, C479, C1033, C1189, C826, C1547, C1746, C261, C904, C1328>
2015-03-18 12:52:32,099:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1020: H:6, E:5, P:6, Prefs[10]: C593, C24, C1875, C1880, C483, C508, C1089, C36, C416, C1393>
2015-03-18 12:52:32,101:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1021: H:10, E:9, P:10, Prefs[10]: C1586, C1501, C1927, C776, C549, C898, C1255, C1758, C129, C1438>
2015-03-18 12:52:32,102:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1022: H:7, E:5, P:1, Prefs[10]: C1342, C1934, C899, C1004, C676, C504, C372, C499, C1671, C1178>
2015-03-18 12:52:32,104:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1023: H:8, E:4, P:5, Prefs[10]: C1995, C323, C603, C438, C1392, C1014, C655, C1932, C1850, C95>
2015-03-18 12:52:32,105:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1024: H:4, E:8, P:8, Prefs[10]: C1438, C727, C1827, C1465, C1210, C1748, C491, C1351, C1152, C392>
2015-03-18 12:52:32,105:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1025: H:9, E:1, P:4, Prefs[10]: C1620, C1238, C1909, C262, C271, C1042, C68, C1161, C350, C1563>
2015-03-18 12:52:32,107:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1026: H:4, E:9, P:6, Prefs[10]: C1760, C219, C1528, C1907, C1492, C93, C1479, C1081, C143, C1656>
2015-03-18 12:52:32,108:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1027: H:5, E:3, P:1, Prefs[10]: C1581, C111, C1128, C842, C506, C763, C649, C1961, C432, C1959>
2015-03-18 12:52:32,108:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1028: H:6, E:6, P:10, Prefs[10]: C1833, C1744, C929, C1865, C784, C332, C29, C1948, C1853, C1020>
2015-03-18 12:52:32,108:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1029: H:5, E:8, P:7, Prefs[10]: C1571, C1369, C785, C1789, C1749, C269, C998, C448, C1923, C1222>
2015-03-18 12:52:32,109:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1030: H:3, E:8, P:8, Prefs[10]: C1125, C1754, C925, C1985, C1203, C1277, C1903, C398, C1666, C126>
2015-03-18 12:52:32,111:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1031: H:2, E:5, P:5, Prefs[10]: C1207, C1331, C1005, C68, C1721, C737, C129, C990, C951, C934>
2015-03-18 12:52:32,111:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1032: H:6, E:3, P:3, Prefs[10]: C89, C1207, C617, C404, C1857, C1715, C1848, C1384, C217, C1961>
2015-03-18 12:52:32,114:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1033: H:2, E:0, P:6, Prefs[10]: C808, C1044, C343, C1577, C82, C782, C1810, C1519, C1419, C817>
2015-03-18 12:52:32,114:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1034: H:10, E:1, P:5, Prefs[10]: C1979, C1204, C1212, C1879, C24, C1448, C1472, C93, C1337, C152>
2015-03-18 12:52:32,115:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1035: H:8, E:2, P:7, Prefs[10]: C737, C1806, C607, C1097, C1900, C1127, C1181, C1489, C1765, C1189>
2015-03-18 12:52:32,115:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1036: H:2, E:5, P:5, Prefs[10]: C4, C1987, C1599, C308, C331, C1926, C1511, C1762, C1209, C1673>
2015-03-18 12:52:32,117:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1037: H:1, E:5, P:10, Prefs[10]: C1881, C1961, C666, C1676, C614, C1467, C1830, C1192, C533, C802>
2015-03-18 12:52:32,118:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1038: H:7, E:1, P:1, Prefs[10]: C852, C1615, C1613, C1468, C176, C1158, C1298, C1553, C1765, C1960>
2015-03-18 12:52:32,118:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1039: H:7, E:8, P:3, Prefs[10]: C1591, C843, C764, C1808, C868, C1133, C71, C614, C196, C188>
2015-03-18 12:52:32,119:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1040: H:6, E:10, P:4, Prefs[10]: C266, C1041, C1918, C695, C601, C1006, C501, C218, C1028, C6>
2015-03-18 12:52:32,121:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1041: H:2, E:4, P:7, Prefs[10]: C1647, C1488, C683, C1333, C184, C1497, C1691, C1030, C1263, C402>
2015-03-18 12:52:32,121:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1042: H:6, E:1, P:4, Prefs[10]: C749, C462, C1020, C943, C515, C991, C982, C183, C1136, C1342>
2015-03-18 12:52:32,121:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1043: H:8, E:9, P:10, Prefs[10]: C723, C731, C525, C1729, C90, C1217, C1997, C1402, C282, C661>
2015-03-18 12:52:32,122:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1044: H:8, E:4, P:7, Prefs[10]: C1164, C1175, C189, C1721, C559, C596, C1923, C866, C938, C1983>
2015-03-18 12:52:32,124:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1045: H:7, E:4, P:8, Prefs[10]: C334, C944, C373, C1772, C987, C1998, C1091, C600, C186, C1493>
2015-03-18 12:52:32,125:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1046: H:6, E:0, P:4, Prefs[10]: C387, C1451, C1372, C353, C554, C337, C741, C324, C1154, C480>
2015-03-18 12:52:32,125:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1047: H:10, E:1, P:2, Prefs[10]: C1137, C1703, C1547, C222, C1726, C765, C1704, C1557, C1040, C229>
2015-03-18 12:52:32,127:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1048: H:7, E:6, P:7, Prefs[10]: C381, C1603, C616, C50, C746, C1651, C133, C1735, C1636, C685>
2015-03-18 12:52:32,127:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1049: H:1, E:8, P:3, Prefs[10]: C345, C1583, C233, C1977, C1603, C878, C282, C1925, C1028, C1842>
2015-03-18 12:52:32,128:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1050: H:3, E:4, P:10, Prefs[10]: C1875, C5, C1341, C552, C1450, C1574, C339, C294, C535, C380>
2015-03-18 12:52:32,128:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1051: H:7, E:9, P:9, Prefs[10]: C333, C1210, C568, C394, C624, C411, C12, C777, C1445, C76>
2015-03-18 12:52:32,130:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1052: H:2, E:0, P:9, Prefs[10]: C125, C1951, C172, C729, C1268, C114, C1716, C1326, C300, C338>
2015-03-18 12:52:32,131:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1053: H:2, E:2, P:9, Prefs[10]: C776, C286, C1619, C138, C437, C489, C1843, C1651, C1148, C574>
2015-03-18 12:52:32,131:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1054: H:5, E:9, P:9, Prefs[10]: C459, C1455, C1097, C1488, C549, C1649, C790, C1441, C688, C1580>
2015-03-18 12:52:32,132:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1055: H:7, E:7, P:5, Prefs[10]: C1137, C993, C828, C1748, C708, C719, C301, C1824, C1389, C588>
2015-03-18 12:52:32,134:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1056: H:0, E:6, P:9, Prefs[10]: C1113, C1167, C1965, C17, C1403, C618, C1172, C1262, C1125, C1840>
2015-03-18 12:52:32,134:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1057: H:5, E:2, P:0, Prefs[10]: C1340, C222, C977, C93, C1645, C1457, C739, C313, C1983, C662>
2015-03-18 12:52:32,135:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1058: H:1, E:10, P:7, Prefs[10]: C415, C151, C752, C540, C1379, C395, C1973, C1341, C608, C1526>
2015-03-18 12:52:32,137:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1059: H:2, E:8, P:0, Prefs[10]: C1453, C1946, C1310, C1792, C1116, C1693, C568, C1005, C173, C871>
2015-03-18 12:52:32,138:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1060: H:5, E:7, P:0, Prefs[10]: C1687, C659, C1247, C18, C671, C1044, C536, C198, C1145, C1381>
2015-03-18 12:52:32,138:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1061: H:4, E:5, P:4, Prefs[10]: C241, C1177, C1132, C1101, C1141, C593, C876, C1973, C699, C841>
2015-03-18 12:52:32,140:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1062: H:4, E:3, P:8, Prefs[10]: C1029, C542, C945, C284, C1934, C915, C568, C1911, C1375, C1243>
2015-03-18 12:52:32,141:DEBUG:JuggleFest.parse_input_file@L176:Created Juggler: <Juggler #1063: H:4, E:7, P:2, Prefs[10]: C1601, C1175, C1790, C577, C980, C1242, C1295, C85, C1272, C1195>
